timestep,impact
1260,16.92205508798361
1261,16.943486094474792
1262,17.12333247065544
1263,17.271804943680763
1264,18.541980355978012
1265,17.07872499525547
1266,16.83899075910449
1267,16.83998739346862
1268,16.82913603261113
1269,16.82475183531642
1270,16.831725168973207
1271,15.502972293645144
1272,15.992995411157608
1273,16.12078347429633
1274,16.30554309487343
1275,17.181498259305954
1276,16.386250287294388
1277,16.39993552863598
1278,16.283589124679565
1279,17.0958589091897
1280,17.093595400452614
1281,17.08414076268673
1282,17.0958589091897
1283,17.3347003236413
1284,18.06023535132408
1285,17.376028209924698
1286,17.076335340738297
1287,17.107601672410965
1288,17.061026714742184
1289,17.05557730793953
1290,17.066475905478
1291,17.052249930799007
1292,17.05193729698658
1293,17.3103938549757
1294,17.329811319708824
1295,17.464359901845455
1296,18.56818777322769
1297,17.490685004740953
1298,17.29671734198928
1299,17.03605541959405
1300,17.075448743999004
1301,17.05573533475399
1302,17.466274574398994
1303,17.660035997629166
1304,17.403719879686832
1305,17.12851582467556
1306,17.35464958101511
1307,17.227695249021053
1308,17.170123662799597
1309,17.11432648077607
1310,17.26713014394045
1311,17.4735769033432
1312,18.012663632631302
1313,17.22398366779089
1314,17.218870297074318
1315,17.21784593909979
1316,17.44409839808941
1317,17.84727367758751
1318,17.050214059650898
1319,17.048132330179214
1320,17.30912809073925
1321,17.32666850090027
1322,17.1337111890316
1323,17.506780952215195
1324,18.236818075180054
1325,17.673286646604538
1326,17.769330263137817
1327,17.318296119570732
1328,17.225811138749123
1329,16.994888558983803
1330,16.990115076303482
1331,17.16792356967926
1332,17.342682108283043
1333,17.307447403669357
1334,17.29443645477295
1335,17.984124675393105
1336,18.49539750814438
1337,17.42017001658678
1338,17.275140322744846
1339,17.248360097408295
1340,17.339622732251883
1341,17.279822923243046
1342,17.276115015149117
1343,17.054901774972677
1344,17.073293767869473
1345,17.063231095671654
