timestep,value,advantage
490,-17.27121353149414,0.05684611201286316
491,-17.77433967590332,0.2937418520450592
492,-17.367399215698242,0.07613774389028549
493,-17.387109756469727,0.11342444270849228
494,-17.297250747680664,0.037481293082237244
495,-17.473546981811523,0.028932318091392517
496,-17.89402198791504,0.30008918046951294
497,-17.597320556640625,0.08705084770917892
498,-17.40420150756836,0.06907467544078827
499,-17.12757682800293,0.07006236910820007
500,-16.869272232055664,0.06806215643882751
501,-17.285219192504883,0.07640385627746582
502,-17.46993064880371,0.18453973531723022
503,-17.09547233581543,0.043950676918029785
504,-17.072065353393555,0.05004790425300598
505,-17.048847198486328,0.05635813623666763
506,-17.22690200805664,0.016410604119300842
507,-17.610301971435547,0.08612748980522156
508,-18.073163986206055,0.37381958961486816
509,-17.720842361450195,0.10377994924783707
510,-17.37126922607422,0.04420865327119827
511,-17.048362731933594,0.027989506721496582
512,-17.221120834350586,0.11300277709960938
513,-17.30219078063965,0.22461843490600586
514,-16.794546127319336,0.1378145068883896
515,-16.77509117126465,0.09319902956485748
516,-17.082584381103516,0.029035836458206177
517,-17.275480270385742,0.023838117718696594
518,-17.23082733154297,0.00863523781299591
519,-17.384578704833984,0.025842085480690002
520,-17.645679473876953,0.3163115382194519
521,-15.995418548583984,0.015033748000860214
522,-15.486308097839355,0.08716097474098206
523,-15.103195190429688,0.06015205383300781
524,-15.158937454223633,0.044309698045253754
525,-15.133210182189941,0.03669163957238197
526,-15.077512741088867,0.09010172635316849
527,-15.077512741088867,0.09010172635316849
528,-15.614648818969727,0.02722388505935669
529,-15.863141059875488,0.13410867750644684
530,-16.402456283569336,0.4232543706893921
531,-17.366565704345703,0.04968944936990738
532,-17.073162078857422,0.028696659952402115
533,-17.03575897216797,0.03403759375214577
534,-17.34078598022461,0.08826658129692078
535,-17.498432159423828,0.2167101502418518
536,-16.966983795166016,0.11369132250547409
537,-16.977684020996094,0.1302691400051117
538,-17.2711238861084,0.018633991479873657
539,-17.297080993652344,0.029282093048095703
540,-17.473587036132812,0.01956113427877426
541,-17.764541625976562,0.25199466943740845
542,-17.5385684967041,0.07739125192165375
543,-17.320852279663086,0.03228985518217087
544,-17.274906158447266,0.06068345159292221
545,-17.111623764038086,0.004598654806613922
546,-17.11796760559082,0.0394563302397728
547,-16.968746185302734,0.10924672335386276
548,-16.982563018798828,0.1254509836435318
549,-17.27472686767578,0.018243655562400818
550,-17.141929626464844,0.07354764640331268
551,-17.080984115600586,0.05121732875704765
552,-17.47050666809082,0.013762414455413818
553,-17.467397689819336,0.017890147864818573
554,-17.956573486328125,0.29144880175590515
555,-17.4844970703125,0.04048355668783188
556,-17.4414119720459,0.06573419272899628
557,-17.456764221191406,0.013909786939620972
558,-17.43401336669922,0.18957242369651794
559,-17.2879695892334,0.02126637101173401
560,-17.095680236816406,0.0515933483839035
561,-17.292200088500977,0.014768525958061218
562,-17.249908447265625,0.020615726709365845
563,-17.21190071105957,0.05754709243774414
564,-17.60862159729004,0.06384541094303131
565,-17.91286277770996,0.31557464599609375
566,-17.584476470947266,0.0796678215265274
567,-17.249658584594727,0.06618498265743256
568,-17.367748260498047,0.020170308649539948
569,-17.216501235961914,0.04348120838403702
570,-17.265127182006836,0.06158831715583801
571,-17.67672348022461,0.2654099762439728
572,-17.280759811401367,0.11398255825042725
573,-16.819833755493164,0.13369084894657135
574,-17.10196304321289,0.06411689519882202
575,-17.271072387695312,0.017865881323814392
576,-17.92140007019043,0.3835816979408264
577,-17.216611862182617,0.01783837378025055
578,-17.204368591308594,0.011638715863227844
579,-17.23299217224121,0.035105496644973755
580,-17.38435173034668,0.22377753257751465
581,-16.72998046875,0.0899689644575119
582,-17.19515037536621,0.03947471082210541
583,-17.037057876586914,0.06769128143787384
584,-17.016277313232422,0.07306629419326782
585,-17.429439544677734,0.05070483684539795
586,-17.66099739074707,0.32449883222579956
587,-17.18185806274414,0.012223288416862488
588,-17.45334815979004,0.055467359721660614
589,-17.23674964904785,0.02483515441417694
590,-17.31614875793457,0.1181272491812706
591,-17.050033569335938,0.11568000912666321
592,-17.320838928222656,0.026219047605991364
593,-17.37123680114746,0.026872508227825165
594,-17.57624053955078,0.018083296716213226
